Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
SPAN 20200 - Intermediate Spanish 2,9195,03-LEC Regular,TuWeFr 9:30AM - 10:20AM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9196,04-LEC Regular,TuWeFr 10:30AM - 11:20AM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9192,05-LEC Regular,TuWeFr 8:30AM - 9:20AM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9187,06-LEC Regular,Su 1:10PM - 4:00PM,West Bldg W413,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9189,07-LEC Regular,TuTh 5:30PM - 6:45PM,West Bldg W504,Rafael Fernandez,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9194,08-LEC Regular,MoTh 2:30PM - 3:45PM,West Bldg W504,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20200 - Intermediate Spanish 2,9190,09-LEC Regular,TuFr 10:00AM - 11:15AM,West Bldg W509,TBA,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20200 - Intermediate Spanish 2,9200,10-LEC Regular,TuFr 4:00PM - 5:15PM,West Bldg W509,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9199,11-LEC Regular,MoWe 8:30PM - 9:45PM,West Bldg W207,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9198,12-LEC Regular,TuTh 8:30PM - 9:45PM,North Bldg C101,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20200 - Intermediate Spanish 2,9197,13-LEC Regular,TuTh 7:00PM - 8:15PM,North Bldg C101,TBA,In Person,01/25/2024 - 05/22/2024,Closed
SPAN 20200 - Intermediate Spanish 2,9188,W01-LEC Winter,MoTuWeTh 1:00PM - 4:08PM,West Bldg W413,TBA,In Person,01/02/2024 - 01/23/2024,Open
SPAN 20300 - Intensive Intermediate Spanish,9125,01-LEC Regular,TuFr 11:30AM - 12:45PMMoWeTh 11:30AM - 12:20PM,West Bldg W707BWest Bldg W707B,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 20300 - Intensive Intermediate Spanish,9122,02-LEC Regular,Sa 1:30PM - 4:00PMSa 10:00AM - 12:30PM,West Bldg W504West Bldg W504,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 20300 - Intensive Intermediate Spanish,9123,03-LEC Regular,Sa 1:30PM - 4:00PMSa 10:00AM - 12:30PM,West Bldg W509CWest Bldg W509C,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 20300 - Intensive Intermediate Spanish,9124,04-LEC Regular,Su 1:30PM - 4:00PMSu 10:00AM - 12:30PM,West Bldg W204West Bldg W204,,In Person,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Wait
SPAN 20700 - Interm Span: Native Speakers,8636,01-LEC Regular,MoTh 2:30PM - 3:45PM,West Bldg W413,Maria Fischer,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20700 - Interm Span: Native Speakers,8637,02-LEC Regular,MoWe 4:00PM - 5:15PM,West Bldg W413,Rafael Fernandez,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20800 - Adv Span for Nat Spk,7109,01-LEC Regular,MoTh 11:30AM - 12:45PM,West Bldg W413,Ana Tello,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 20800 - Adv Span for Nat Spk,7107,02-LEC Regular,Sa 9:10AM - 12:00PM,West Bldg W407,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 20800 - Adv Span for Nat Spk,7108,03-LEC Regular,TuTh 4:00PM - 5:15PM,West Bldg W413,Monica Schinaider,In Person,01/25/2024 - 05/22/2024,Wait
SPAN 21100 - Span Grmmr & Compos,6341,01-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W504,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 22100 - Spanish for Oral Communication,43412,01-LEC Regular,MoWe 7:00PM - 8:15PM,West Bldg W504,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 27000 - Span Comp Sp Spkg St,9382,01-LEC Regular,MoTh 10:00AM - 11:15AM,West Bldg W1344,Ana Tello,In Person,01/25/2024 - 05/22/2024,Open
